"","Week_index","Region","value"
"763",685,"Sicily",0
"764",686,"Autonomous Province of Trento",0
"765",686,"Canton of Ticino",0
"766",686,"Emilia-Romagna",0
"767",686,"Puglia",0
"768",686,"Sicily",0
"769",687,"Autonomous Province of Trento",0
"770",687,"Canton of Ticino",0
"771",687,"Emilia-Romagna",0
"772",687,"Puglia",0
"773",687,"Sicily",0
"774",688,"Autonomous Province of Trento",NA
"775",688,"Canton of Ticino",NA
"776",688,"Emilia-Romagna",0
"777",688,"Puglia",NA
"778",688,"Sicily",0
"779",689,"Autonomous Province of Trento",NA
"780",689,"Canton of Ticino",NA
"781",689,"Emilia-Romagna",NA
"782",689,"Puglia",NA
"783",689,"Sicily",0
"784",690,"Autonomous Province of Trento",NA
"785",690,"Canton of Ticino",NA
"786",690,"Emilia-Romagna",NA
"787",690,"Puglia",NA
"788",690,"Sicily",0
"789",691,"Autonomous Province of Trento",NA
"790",691,"Canton of Ticino",NA
"791",691,"Emilia-Romagna",NA
"792",691,"Puglia",NA
"793",691,"Sicily",0
